track_id,genre,split,audio_path,exists
2,Hip-Hop,training,C:\Users\Robben's Laptop\OneDrive\Documents\Personal Projects\signals-of-genres\dataset\fma_small\000\000002.mp3,True
5,Hip-Hop,training,C:\Users\Robben's Laptop\OneDrive\Documents\Personal Projects\signals-of-genres\dataset\fma_small\000\000005.mp3,True
10,Pop,training,C:\Users\Robben's Laptop\OneDrive\Documents\Personal Projects\signals-of-genres\dataset\fma_small\000\000010.mp3,True
140,Folk,training,C:\Users\Robben's Laptop\OneDrive\Documents\Personal Projects\signals-of-genres\dataset\fma_small\000\000140.mp3,True
141,Folk,training,C:\Users\Robben's Laptop\OneDrive\Documents\Personal Projects\signals-of-genres\dataset\fma_small\000\000141.mp3,True
148,Experimental,validation,C:\Users\Robben's Laptop\OneDrive\Documents\Personal Projects\signals-of-genres\dataset\fma_small\000\000148.mp3,True
182,Rock,test,C:\Users\Robben's Laptop\OneDrive\Documents\Personal Projects\signals-of-genres\dataset\fma_small\000\000182.mp3,True
190,Folk,training,C:\Users\Robben's Laptop\OneDrive\Documents\Personal Projects\signals-of-genres\dataset\fma_small\000\000190.mp3,True
193,Folk,training,C:\Users\Robben's Laptop\OneDrive\Documents\Personal Projects\signals-of-genres\dataset\fma_small\000\000193.mp3,True
194,Folk,training,C:\Users\Robben's Laptop\OneDrive\Documents\Personal Projects\signals-of-genres\dataset\fma_small\000\000194.mp3,True
197,Folk,training,C:\Users\Robben's Laptop\OneDrive\Documents\Personal Projects\signals-of-genres\dataset\fma_small\000\000197.mp3,True
200,Folk,training,C:\Users\Robben's Laptop\OneDrive\Documents\Personal Projects\signals-of-genres\dataset\fma_small\000\000200.mp3,True
203,Folk,training,C:\Users\Robben's Laptop\OneDrive\Documents\Personal Projects\signals-of-genres\dataset\fma_small\000\000203.mp3,True
204,Folk,training,C:\Users\Robben's Laptop\OneDrive\Documents\Personal Projects\signals-of-genres\dataset\fma_small\000\000204.mp3,True
207,Folk,training,C:\Users\Robben's Laptop\OneDrive\Documents\Personal Projects\signals-of-genres\dataset\fma_small\000\000207.mp3,True
210,Folk,training,C:\Users\Robben's Laptop\OneDrive\Documents\Personal Projects\signals-of-genres\dataset\fma_small\000\000210.mp3,True
211,Folk,training,C:\Users\Robben's Laptop\OneDrive\Documents\Personal Projects\signals-of-genres\dataset\fma_small\000\000211.mp3,True
212,Folk,training,C:\Users\Robben's Laptop\OneDrive\Documents\Personal Projects\signals-of-genres\dataset\fma_small\000\000212.mp3,True
213,Pop,training,C:\Users\Robben's Laptop\OneDrive\Documents\Personal Projects\signals-of-genres\dataset\fma_small\000\000213.mp3,True
255,Rock,training,C:\Users\Robben's Laptop\OneDrive\Documents\Personal Projects\signals-of-genres\dataset\fma_small\000\000255.mp3,True
256,Rock,training,C:\Users\Robben's Laptop\OneDrive\Documents\Personal Projects\signals-of-genres\dataset\fma_small\000\000256.mp3,True
368,Rock,training,C:\Users\Robben's Laptop\OneDrive\Documents\Personal Projects\signals-of-genres\dataset\fma_small\000\000368.mp3,True
424,Experimental,training,C:\Users\Robben's Laptop\OneDrive\Documents\Personal Projects\signals-of-genres\dataset\fma_small\000\000424.mp3,True
459,Rock,validation,C:\Users\Robben's Laptop\OneDrive\Documents\Personal Projects\signals-of-genres\dataset\fma_small\000\000459.mp3,True
534,Folk,training,C:\Users\Robben's Laptop\OneDrive\Documents\Personal Projects\signals-of-genres\dataset\fma_small\000\000534.mp3,True
540,Folk,training,C:\Users\Robben's Laptop\OneDrive\Documents\Personal Projects\signals-of-genres\dataset\fma_small\000\000540.mp3,True
546,Folk,training,C:\Users\Robben's Laptop\OneDrive\Documents\Personal Projects\signals-of-genres\dataset\fma_small\000\000546.mp3,True
574,Rock,training,C:\Users\Robben's Laptop\OneDrive\Documents\Personal Projects\signals-of-genres\dataset\fma_small\000\000574.mp3,True
